name,description,region,type,link
Barbell Bench Press,"Step 1 : Lie on your back on a bench. Grasp a barbell with an overhand grip just wider than shoulder-width apart and hold it above your chest with your arms fully extended. This will be your starting position. Step 2 : Lower the bar straight down in a controlled motion. Make sure you keep your elbows tucked in close to your body so your upper arms form a 45-degree angle to your body in the down position. Pause, and then press the bar in a straight line back up to the starting position.",chest,Strength,https://www.muscleandfitness.com/workouts/chest-exercises/videos/barbell-bench-press
DumbBell Hip-Bridge Press,"Step 1 : With a dumbbell in each hand, lie on your back and bend your legs so they're at 90 degrees, with your feet planted firmly on the floor. Step 2 : Engage your glutes and hamstrings and lift your hips up off the floor. Step 3: Press the dumbbells up and squeeze the triceps and pecs at the top. Step 4 : Slowly lower the dumbbells. Continue pressing and lowering the dumbbells while keeping your hips off the floor.",chest,Strength,https://www.muscleandfitness.com/workouts/chest-exercises/dumbbell-hip-bridge-press-optimize-your-bench
Incline Dumbell Bench Press,"Step 1 : Set an adjustable bench to an incline of 30-45 degrees. Lie on your back on the bench and hold a pair of dumbbells directly above your shoulders with your arms fully extended. Step 2 : Pull your shoulder blades together, and slightly stick out your chest. Lower both dumbbells to the sides of your chest. Pause, and then press the dumbbells back to the starting position.",chest,Strength,https://www.muscleandfitness.com/workouts/chest-exercises/videos/incline-dumbbell-bench-press
Incline Cable Flye,"Step 1 : To get yourself into the starting position, set the pulleys at the floor level (lowest level possible on the machine that is below your torso). Step 2 : Place an incline bench (set at 45 degrees) in between the pulleys, select a weight on each one and grab a pulley on each hand. Step 3 : With a handle on each hand, lie on the incline bench and bring your hands together at arms length in front of your face. This will be your starting position. Step 4 : With a slight bend of your elbows (in order to prevent stress at the biceps tendon), lower your arms out at both sides in a wide arc until you feel a stretch on your chest. Breathe in as you perform this portion of the movement. Tip: Keep in mind that throughout the movement, the arms should remain stationary. The movement should only occur at the shoulder joint. Step 5 : Return your arms back to the starting position as you squeeze your chest muscles and exhale. Hold the contracted position for a second. Tip: Make sure to use the same arc of motion used to lower the weights. Step 6 : Repeat the movement for the prescribed amount of repetitions.",chest,Strength,https://www.bodybuilding.com/exercises/incline-cable-flye
Push Press,"Beginning Position: - Use the floor-to-shoulder lifting technique described in the Power Clean exercise to move the bar from the floor to the shoulders. Upward Movement Phase: - Slightly flex the hips and knees, keeping torso erect. - Immediately follow with an explosive push upward by extending the knees. - Keep torso erect and tensed. - At maximum hip and knee extension, shift body weight to balls of feet and extend ankle joints. - At maximum plantar flexion, push bar from the shoulders. - Push the bar with the arms to a fully extended elbow position overhead. Downward Movement Phase: - Lower bar to shoulders. - Flex hips and knees slightly as bar touches shoulders. - Straighten the hips and knees before the upward movement phase begins again. Breathing: - Exhale through the sticking point of the upward movement phase. - Inhale during the downward movement phase",shoulders,Strength,https://www.bodybuilding.com/exercises/push-press
Standing Military Press,"Step 1 : Start by placing a barbell that is about chest high on a squat rack. Once you have selected the weights, grab the barbell using a pronated (palms facing forward) grip. Make sure to grip the bar wider than shoulder width apart from each other. Step 2 : Slightly bend the knees and place the barbell on your collar bone. Lift the barbell up keeping it lying on your chest. Take a step back and position your feet shoulder width apart from each other. Step 3 : Once you pick up the barbell with the correct grip length, lift the bar up over your head by locking your arms. Hold at about shoulder level and slightly in front of your head. This is your starting position. Step 4 : Lower the bar down to the collarbone slowly as you inhale. Step 5 : Lift the bar back up to the starting position as you exhale. Step 6 : Repeat for the recommended amount of repetitions.",shoulders,Strength,https://www.bodybuilding.com/exercises/standing-military-press
Dumbbell Incline Row,"Step 1 : Using a neutral grip, lean into an incline bench.Step 2 : Take a dumbbell in each hand with a neutral grip, beginning with the arms straight. This will be your starting position. Step 3: Retract the shoulder blades and flex the elbows to row the dumbbells to your side. Step 4 : Pause at the top of the motion, and then return to the starting position.",shoulders,Strength,https://www.bodybuilding.com/exercises/dumbbell-incline-row
Dumbbell Shoulder Press,"Step 1 : While holding a dumbbell in each hand, sit on a military press bench or utility bench that has back support. Place the dumbbells upright on top of your thighs. Step 2 : Now raise the dumbbells to shoulder height one at a time using your thighs to help propel them up into position. Step 3 : Make sure to rotate your wrists so that the palms of your hands are facing forward. This is your starting position. Step 4 : Now, exhale and push the dumbbells upward until they touch at the top. Step 5 : Then, after a brief pause at the top contracted position, slowly lower the weights back down to the starting position while inhaling. Step 6 : Repeat for the recommended amount of repetitions.",shoulders,Strength,https://www.bodybuilding.com/exercises/dumbbell-shoulder-press
Upright Barbell Row,"Step 1 : Grasp a barbell with an overhand grip that is slightly less than shoulder width. The bar should be resting on the top of your thighs with your arms extended and a slight bend in your elbows. Your back should also be straight. This will be your starting position. Step 2 : Now exhale and use the sides of your shoulders to lift the bar, raising your elbows up and to the side. Keep the bar close to your body as you raise it. Continue to lift the bar until it nearly touches your chin. Tip: Your elbows should drive the motion, and should always be higher than your forearms. Remember to keep your torso stationary and pause for a second at the top of the movement. Step 3 : Lower the bar back down slowly to the starting position. Inhale as you perform this portion of the movement. Step 4 : Repeat for the recommended amount of repetitions.",shoulders,Strength,https://www.bodybuilding.com/exercises/upright-barbell-row
Barbell full Squat,"Step 1 : This exercise is best performed inside a squat rack for safety purposes. To begin, first set the bar on a rack just above shoulder level. Once the correct height is chosen and the bar is loaded, step under the bar and place the back of your shoulders (slightly below the neck) across it. Step 2 : Hold on to the bar using both arms at each side and lift it off the rack by first pushing with your legs and at the same time straightening your torso. Step 3 : Step away from the rack and position your legs using a shoulder-width medium stance with the toes slightly pointed out. Keep your head up at all times and maintain a straight back. This will be your starting position. Step 4 : Begin to slowly lower the bar by bending the knees and sitting back with your hips as you maintain a straight posture with the head up. Continue down until your hamstrings are on your calves. Inhale as you perform this portion of the movement. Step 5 : Begin to raise the bar as you exhale by pushing the floor with the heel or middle of your foot as you straighten the legs and extend the hips to go back to the starting position. Step 6 : Repeat for the recommended amount of repetitions.",legs,Strength,https://www.bodybuilding.com/exercises/barbell-full-squat
